title,content,tokens
Page 43,"On the prejudices of philosophers must still be attributed to instinctive activity , and this is even the case for philosophical thought. This issue needs re-examination in the same waythat heredity and “innate characteristics” have been re-examined. Justas the act of birth makes no difference to the overall course of heredity ,neither is “consciousness” opposed to instinct in any decisive sense – most of a philosopher’s conscious thought is secretly directed and forced intodeterminate channels by the instincts. Even behind all logic and its au-tocratic posturings stand valuations or, stated more clearly , physiologicalrequirements for the preservation of a particular type of life. For example,that the determinate is worth more than the indeterminate, appearanceworth less than the “truth”: despite all their regulative importance forus, these sorts of appraisals could still be just foreground appraisals, a particular type of niaiserie , precisely what is needed for the preservation of beings like us. But this assumes that it is not man who is the “measureof things” ...  W e do not consider the falsity of a judgment as itself an objection to a judg- ment; this is perhaps where our new language will sound most foreign. Thequestion is how far the judgment promotes and preserves life, how well itpreserves, and perhaps even cultivates, the type. And we are fundamen-tally inclined to claim that the falsest judgments (which include syntheticjudgments a priori ) are the most indispensable to us, and that without ac- cepting the ﬁctions of logic, without measuring reality against the whollyinvented world of the unconditioned and self-identical, without a constantfalsiﬁcation of the world through numbers, people could not live – that a renunciation of false judgments would be a renunciation of life, a negationof life. To acknowledge untruth as a condition of life: this clearly meansresisting the usual value feelings in a dangerous manner; and a philoso-phy that risks such a thing would by that gesture alone place itself beyondgood and evil.  What goads us into regarding all philosophers with an equal measure ofmistrust and mockery is not that we are struck repeatedly by how innocent Silliness. ",512
Page 44,"Beyond Good and Evil they are – how often and easily they err and stray , in short, their childish childlikeness – but rather that there is not enough genuine honesty aboutthem: even though they all make a huge, virtuous racket as soon as theproblem of truthfulness is even remotely touched upon. They all act as ifthey had discovered and arrived at their genuine convictions through theself-development of a cold, pure, divinely insouciant dialectic (in contrastto the mystics of every rank, who are more honest than the philosophersand also sillier – they talk about “inspiration” –): while what essentially happens is that they take a conjecture, a whim, an “inspiration” or, moretypically , they take some fervent wish that they have sifted through andmade properly abstract – and they defend it with rationalizations afterthe fact. They are all advocates who do not want to be seen as such; for the most part, in fact, they are sly spokesmen for prejudices that they christen as “truths” – and very far indeed from the courage of conscience that confesses to this fact, this very fact; and very far from having the goodtaste of courage that also lets this be known, perhaps to warn a friend orfoe, or out of a high-spirited attempt at self-satire. The stiff yet demuretartuffery used by the old Kant to lure us along the clandestine, dialecticalpath that leads the way (or rather: astray) to his “categorical imperative” –this spectacle provides no small amusement for discriminating spectatorslike us, who keep a close eye on the cunning tricks of the old moralists andpreachers of morals. Or even that hocus pocus of a mathematical formused by Spinoza to arm and outﬁt his philosophy (a term which, when allis said and done, really means “ hislove of wisdom”) and thus, from the very start, to strike terror into the heart of the attacker who would dare tocast a glance at the unconquerable maiden and Pallas Athena: – how muchpersonal timidity and vulnerability this sick hermit’s masquerade reveals!  I have gradually come to realize what every great philosophy so far hasbeen: a confession of faith on the part of its author, and a type of involun-tary and unself-conscious memoir; in short, that the moral (or immoral)intentions in every philosophy constitute the true living seed from whichthe whole plant has always grown. Actually , to explain how the strangestmetaphysical claims of a philosopher really come about, it is always good(and wise) to begin by asking: what morality is it (is he–) getting at? Con- sequently , I do not believe that a “drive for knowledge” is the father of ",613
Page 45,"On the prejudices of philosophers philosophy , but rather that another drive, here as elsewhere, used knowl- edge (and mis-knowledge!) merely as a tool. But anyone who looks atpeople’s basic drives, to see how far they may have played their little gameright here as inspiring geniuses (or daemons or sprites –), will ﬁnd that they all practiced philosophy at some point, – and that every single one of them would be only too pleased to present itself as the ultimate pur- pose of existence and as rightful master of all the other drives. Because every drive craves mastery , and this leads it to try philosophizing. – Of course: with scholars, the truly scientiﬁc people, things might be differ-ent – “better” if you will –, with them, there might really be something like a drive for knowledge, some independent little clockwork mechanism that, once well wound, ticks bravely away without essentially involving the rest of the scholar’s drives. For this reason, the scholar’s real “interests”usually lie somewhere else entirely , with the family , or earning money ,or in politics; in fact, it is almost a matter of indifference whether hislittle engine is put to work in this or that ﬁeld of research, and whetherthe “promising” young worker turns himself into a good philologist orfungus expert or chemist: – it doesn’t signify anything about him that he becomes one thing or the other. In contrast, there is absolutely nothingimpersonal about the philosopher; and in particular his morals bear de-cided and decisive witness to w h oh ei s – which means, in what order of rank the innermost drives of his nature stand with respect to each other.  How malicious philosophers can be! I do not know anything more ven-omous than the joke Epicurus allowed himself against Plato and thePlatonists: he called them Dionysiokolakes. Literally , the foreground meaning of this term is “sycophants of Dionysus” and therefore acces-sories of the tyrant and brown-nosers; but it also wants to say “they’reallactors , there’s nothing genuine about them” (since Dionysokolax was a popular term for an actor). And this second meaning is really the malicethat Epicurus hurled against Plato: he was annoyed by the magniﬁcentstyle, the mise-en-sc` ene that Plato and his students were so good at, – that Epicurus was not so good at! He, the old schoolmaster from Samos, whosat hidden in his little garden in Athens and wrote three hundred books, Epicurus, Fragment . ",612
Page 46,"Beyond Good and Evil who knows? perhaps out of anger and ambition against Plato? – It took a hundred years for Greece to ﬁnd out who this garden god Epicurus hadbeen. – Did it ﬁnd out?  In every philosophy there is a point where the philosopher’s “conviction” steps onto the stage: or, to use the language of an ancient Mystery: adventavit asinus pulcher et fortissimus.  So you want to live “according to nature?” Oh, you noble Stoics, what a fraud is in this phrase! Imagine something like nature, proﬂigate with-out measure, indifferent without measure, without purpose and regard,without mercy and justice, fertile and barren and uncertain at the sametime, think of indifference itself as power – how could you live according to this indifference? Living – isn’t that wanting specifically to be somethingother than this nature? Isn’t living assessing, preferring, being unfair,being limited, wanting to be different? And assuming your imperativeto “live according to nature” basically amounts to “living according tolife” – well how could you not? Why make a principle out of what you yourselves are and must be? – But in fact, something quite different isgoing on: while pretending with delight to read the canon of your law innature, you want the opposite, you strange actors and self-deceivers! Y ourpride wants to dictate and annex your morals and ideals onto nature – yes,nature itself –, you demand that it be nature “according to Stoa” andyou want to make all existence exist in your own image alone – as a hugeeternal gloriﬁcation and universalization of Stoicism! For all your love oftruth, you have forced yourselves so long, so persistently , and with suchhypnotic rigidity to have a false , namely Stoic, view of nature, that you can no longer see it any other way , – and some abysmal piece of arro-gance ﬁnally gives you the madhouse hope that because you know how to tyrannize yourselves – Stoicism is self-tyranny –, nature lets itself be “In came the ass / beautiful and very strong.” According to KSA these lines could be taken from G. C. Lichtenberg’s Vermischte Schriften (Miscellaneous Writings )( ), V , p.  . ",564
Page 47,"On the prejudices of philosophers tyrannized as well: because isn’t the Stoic a piece of nature? ... But this is an old, eternal story: what happened back then with the Stoics stillhappens today , just as soon as a philosophy begins believing in itself. Italways creates the world in its own image, it cannot do otherwise; philos-ophy is this tyrannical drive itself, the most spiritual will to power, to the“creation of the world,” to the causa prima .   All over Europe these days, the problem “of the real and the apparent world” gets taken up so eagerly and with such acuit y–Iw ould even say: shrewdness – that you really start to think and listen; and anyone who hears only a “will to truth” in the background here certainly does not havethe sharpest of ears. In rare and unusual cases, some sort of will to truthmight actually be at issue, some wild and adventurous streak of courage,a metaphysician’s ambition to hold on to a lost cause, that, in the end,will still prefer a handful of “certainty” to an entire wagonload of prettypossibilities. There might even be puritanical fanatics of conscience whowould rather lie dying on an assured nothing than an uncertain something.But this is nihilism, and symptomatic of a desperate soul in a state ofdeadly exhaustion, however brave such virtuous posturing may appear.With stronger, livelier thinkers, however, thinkers who still have a thirst forlife, things look different. By taking sides against appearance and speaking about “perspective” in a newly arrogant tone, by granting their own bodiesabout as little credibility as they grant the visual evidence that says “theearth stands still,” and so, with seemingly good spirits, relinquishing theirmost secure possession (since what do people believe in more securelythese days than their bodies?), who knows whether they are not basically trying to re-appropriate something that was once possessed even more securely , something from the old estate of a bygone faith, perhaps “the immortal soul” or perhaps “the old God,” in short, ideas that helped make life a bit better, which is to say stronger and more cheerful than“modern ideas” can do? There is a mistrust of these modern ideas here, there is a disbelief in everything built yesterday and today; perhaps it ismixed with a bit of antipathy and contempt that can no longer stand thebric-a-brac of concepts from the most heterogeneous sources, which is First cause. ",574
Page 48,"Beyond Good and Evil how so-called positivism puts itself on the market these days, a disgust felt by the more discriminating taste at the fun-fair colors and ﬂimsy scraps ofall these reality-philosophasters who have nothing new and genuine aboutthem except these colors. Here, I think, we should give these skepticalanti-realists and epistemo-microscopists their just due: the instinct thatdrives them away from modern reality is unassailable, – what do we care for their retrograde shortcut! The essential thing about them is not thatthey want to go “back”: but rather, that they want to get – away . A bit more strength, ﬂight, courage, artistry: and they would want to get up and out, – and not go back! –  It seems to me that people everywhere these days are at pains to divert attention away from the real inﬂuence Kant exerted over German phi-losophy , and, in particular, wisely to overlook the value he attributed tohimself. First and foremost, Kant was proud of his table of categories,  and he said with this table in his hands: “This is the hardest thing thatever could have been undertaken on behalf of metaphysics.” – But let usbe clear about this “could have been”! He was proud of having discovered a new faculty in humans, the faculty of synthetic judgments a priori .O f course he was deceiving himself here, but the development and rapidblossoming of German philosophy depended on this pride, and on thecompetitive zeal of the younger generation who wanted, if possible, to dis-cover something even prouder – and in any event “new faculties”! – But the time has come for us to think this over. How are synthetic judgmentsa priori possible ? Kant asked himself, – and what really was his answer? By virtue of a faculty , which is to say: enabled by an ability : unfortunately , though, not in these few words, but rather so laboriously , reverentially ,and with such an extravagance of German frills and profundity that peo-ple failed to hear the comical niaiserie allemande in such an answer. In fact, people were beside themselves with joy over this new faculty , andthe jubilation reached its peak when Kant discovered yet another faculty ,a moral faculty: – because the Germans were still moral back then, and The reference in this section is to Kant’s Kritik der reinen Vernunft (Critique of Pure Reason )( ,  ). In German: Verm ¨ oge eines Verm¨ ogens . German silliness. ",628
Page 49,"On the prejudices of philosophers very remote from Realpolitik . – The honeymoon of German philosophy had arrived; all the young theologians of the T ¨ubingen seminaryran off into the bushes – they were all looking for “faculties.” And what didn’t they ﬁnd – in that innocent, abundant, still youthful age of the Germanspirit, when Romanticism, that malicious fairy , whispered, whistled, andsang, when people did not know how to tell the difference between “dis-covering” and “inventing”! Above all, a faculty of the “supersensible”: Schelling christened it intellectual intuition, and thus gratiﬁed the heart’sdesire of his basically piety-craving Germans. W e can do no greater in-justice to this whole high-spirited and enthusiastic movement (which wasjust youthfulness, however boldly it might have clothed itself in gray andhoary concepts) than to take it seriously or especially to treat it with moral indignation. Enough, we grew up, – the dream faded away . There camea time when people scratched their heads: some still scratch them to-day . There had been dreamers: ﬁrst and foremost – the old Kant. “By virtue of a faculty” – he had said, or at least meant. But is that really – ananswer? An explanation? Or instead just a repetition of the question? Sohow does opium cause sleep? “By virtue of a faculty ,” namely the virtus dormitiva – replies the doctor in Moli `ere, quia est in eo virtus dormitiva, cujus est natura sensus assoupire . But answers like this belong in comedy , and the time has ﬁnally come to replace the Kantian question “How are synthetic judgments a priori possible?” with another question, “Why is the belief in such judgmentsnecessary ?” – to realize, in other words, that such judgments must be believed true for the purpose of preserving beings of our type; which is why these judgments could of course still be false ! Or, to be blunt, basic and clearer still: synthetic judgments a priori do not have “to be possible” at all: we have no right to them, and in our mouths they arenothing but false judgments. It is only the belief in their truth that isnecessary as a foreground belief and piece of visual evidence, belongingto the perspectival optics of life. – And, ﬁnally , to recall the enormouseffect that “the German philosophy” – its right to these quotation marks A reference to Hegel, H ¨olderlin, and Schelling. In German: “‘ ﬁnden’ und ‘erﬁnden .’” “Because there is a dormative virtue in it / whose nature is to put the senses to sleep.” From Moli `ere’s Le Malade imaginaire (The Hypochondriac )( ). ",722
Page 50,"Beyond Good and Evil is, I hope, understood? – has had all over Europe, a certain virtus dormitiva has undoubtedly had a role: the noble idlers, the virtuous, the mystics,artists, three-quarter-Christians, and political obscurantists of all nationswere all delighted to have, thanks to German philosophy , an antidote tothe still overpowering sensualism that was spilling over into this centuryfrom the previous one, in short – “ sensus assoupire ”...  As far as materialistic atomism goes: this is one of the most well-refuted things in existence. In Europe these days, nobody in the scholarly com-munity is likely to be so unscholarly as to attach any real signiﬁcance toit, except as a handy household tool (that is, as an abbreviated ﬁgure of speech). For this, we can thank that Pole, Boscovich, who, together withthe Pole, Copernicus, was the greatest, most successful opponent of thevisual evidence. While Copernicus convinced us to believe, contrary toall our senses, that the earth does not stand still, Boscovich taught us to renounce belief in the last bit of earth that did “stand still,” the belief in “matter,” in the “material,” in the residual piece of earth and clump of an atom: it was the greatest triumph over the senses that the world had everknown. – But we must go further still and declare wa r–ar uthless ﬁght to the ﬁnish – on the “atomistic need” that, like the more famous “meta-physical need,” still leads a dangerous afterlife in regions where nobodywould think to look. First of all, we must also put an end to that otherand more disastrous atomism, the one Christianity has taught best andlongest, the atomism of the soul . Let this expression signify the belief that the soul is something indestructible, eternal, indivisible, that it is a monad,anatomon :this belief must be thrown out of science! Between you and me, there is absolutely no need to give up “the soul” itself, and relinquishone of the oldest and most venerable hypotheses – as often happens with naturalists: given their clumsiness, they barely need to touch “the soul” to lose it. But the path lies open for new versions and sophistications ofthe soul hypothesis – and concepts like the “mortal soul” and the “soul assubject-multiplicity” and the “soul as a society constructed out of drives and affects” want henceforth to have civil rights in the realm of science.By putting an end to the superstition that until now has grown around theidea of the soul with an almost tropical luxuriance, the new psychologist clearly thrusts himself into a new wasteland and a new suspicion. The ",656
Page 51,"On the prejudices of philosophers old psychologists might have found things easier and more enjoyable –: but, in the end, the new psychologist knows by this very token that he iscondemned to invention – and, who knows? perhaps to discovery . –  Physiologists should think twice before positioning the drive for self- preservation as the cardinal drive of an organic being. Above all, a living thing wants to discharge its strength – life itself is will to power –: self- preservation is only one of the indirect and most frequent consequences of this. – In short, here as elsewhere, watch out for superﬂuous teleological principles! – such as the drive for preservation (which we owe to Spinoza’s inconsistency –). This is demanded by method, which must essentiallybe the economy of principles.  Now it is beginning to dawn on maybe ﬁve or six brains that physicstoo is only an interpretation and arrangement of the world (according toourselves! if I may say so) and not an explanation of the world. But to the extent that physics rests on belief in the senses, it passes for more, and willcontinue to pass for more, namely for an explanation, for a long time tocome. It has our eyes and our ﬁngers as its allies, it has visual evidence andtangibility as its allies. This helped it to enchant, persuade, convince an age with a basically plebeian taste – indeed, it instinctively follows thecanon of truth of the eternally popular sensualism. What is plain, what“explains”? Only what can be seen and felt, – this is as far as any problemhas to be pursued. Conversely: the strong attraction of the Platonic wayof thinking consisted in its opposition to precisely this empiricism. It was anoble way of thinking, suitable perhaps for people who enjoyed even stronger and more discriminating senses than our contemporaries, butwho knew how to ﬁnd a higher triumph in staying master over thesesenses. And they did this by throwing drab, cold, gray nets of conceptsover the brightly colored whirlwind of the senses – the rabble of thesenses, as Plato said. There was a type of enjoyment in overpowering Nietzsche is again making a pun by contrasting the terms Erﬁnden (invention) and Finden (discovery). Cf.Nomoi (Laws)  a–b. ",559
Page 52,"Beyond Good and Evil and interpreting the world in the manner of Plato, different from the enjoyment offered by today’s physicists, or by the Darwinians and anti-teleologists who work in physiology , with their principle of the “smallestpossible force” and greatest possible stupidity . “Where man has nothing more to see and grasp, he has nothing more to do” – this imperative is certainly different from the Platonic one, but for a sturdy , industriousrace of machinists and bridge-builders of the future, people with tough work to do, it just might be the right imperative for the job.  To study physiology with a good conscience, we must insist that the senseorgans are not appearances in the way idealist philosophy uses that term: as such, they certainly could not be causes! Sensualism, therefore, at leastas a regulative principle, if not as a heuristic principle. – What? and otherpeople even say that the external world is the product of our organs? Butthen our body , as a piece of this external world, would really be the product of our organs! But then our organs themselves would really be – the prod- uct of our organs! This looks to me like a thorough reductio ad absurdum :  given that the concept of a causa suiis something thoroughly absurd. So does it follow that the external world is not the product of our organs –?  There are still harmless self-observers who believe in the existence of “immediate certainties,” such as “I think,” or the “I will” that was Scho- penhauer’s superstition: just as if knowledge had been given an object hereto seize, stark naked, as a “thing-in-itself,” and no falsiﬁcation took placefrom either the side of the subject or the side of the object. But I will saythis a hundred times: “immediate certainty ,” like “absolute knowledge” and the “thing in itself ” contains a contradictio in adjecto. For once and for all, we should free ourselves from the seduction of words! Let thepeople believe that knowing means knowing to the very end; the philoso-pher has to say: “When I dissect the process expressed in the proposition Reduction to an absurdity (contradiction). Cause of itself. Contradiction in terms. ",573
Page 53,"On the prejudices of philosophers ‘I think,’ I get a whole set of bold claims that are difﬁcult, perhaps impos- sible, to establish, – for instance, that Iam the one who is thinking, that there must be something that is thinking in the ﬁrst place, that thinking isan activity and the effect of a being who is considered the cause, that thereis an ‘I,’ and ﬁnally , that it has already been determined what is meant by thinking, – that I know what thinking is. Because if I had not already made up my mind what thinking is, how could I tell whether what hadjust happened was not perhaps ‘willing’ or ‘feeling’? Enough: this ‘I think’presupposes that I compare my present state with other states that I have seen in myself, in order to determine what it is: and because of this retro-spective comparison with other types of ‘knowing,’ this present state has absolutely no ‘immediate certainty’ for me.” – In place of that “imme-diate certainty” which may , in this case, win the faith of the people, the philosopher gets handed a whole assortment of metaphysical questions,genuinely probing intellectual questions of conscience, such as: “Wheredo I get the concept of thinking from? Why do I believe in causes andeffects? What gives me the right to speak about an I, and, for that mat-ter, about an I as cause, and, ﬁnally , about an I as the cause of thoughts?”Whoever dares to answer these metaphysical questions right away with anappeal to a sort of intuitive knowledge, like the person who says: “I think and know that at least this is true, real, certain” – he will ﬁnd the philoso-pher of today ready with a smile and two question-marks. “My dear sir,”the philosopher will perhaps give him to understand, “it is improbablethat you are not mistaken: but why insist on the truth?” –  As far as the superstitions of the logicians are concerned: I will not stopemphasizing a tiny little fact that these superstitious men are loath toadmit: that a thought comes when “it” wants, and not when “I” want. It is, therefore, a falsiﬁcation of the facts to say that the subject “I” is the condition of the predicate “think.” It thinks: but to say the “it” isjust that famous old “I” – well that is just an assumption or opinion, toput it mildly , and by no means an “immediate certainty .” In fact, thereis already too much packed into the “it thinks”: even the “it” containsaninterpretation of the process, and does not belong to the process itself. People are following grammatical habits here in drawing conclusions,reasoning that “thinking is an activity , behind every activity something is ",690
Page 54,"Beyond Good and Evil active, therefore –.” Following the same basic scheme, the older atomism looked behind every “force” that produces effects for that little lumpof matter in which the force resides, and out of which the effects areproduced, which is to say: the atom. More rigorous minds ﬁnally learnedhow to make do without that bit of “residual earth,” and perhaps one day even logicians will get used to making do without this little “it” (intowhich the honest old I has disappeared).  That a theory is refutable is, frankly , not the least of its charms: thisis precisely how it attracts the more reﬁned intellects. The theory of“free will,” which has been refuted a hundred times, appears to owe its endurance to this charm alone –: somebody will always come along andfeel strong enough to refute it.  Philosophers tend to talk about the will as if it were the most familiarthing in the world. In fact, Schopenhauer would have us believe that thewill is the only thing that is really familiar, familiar through and through,familiar without pluses or minuses. But I have always thought that, heretoo, Schopenhauer was only doing what philosophers always tend to do:adopting and exaggerating a popular prejudice . Willing strikes me as, above all, something complicated , something uniﬁed only in a word – and this single word contains the popular prejudice that has overruled whateverminimal precautions philosophers might take. So let us be more cautious,for once – let us be “unphilosophical.” Let us say: in every act of willing there is, to begin with, a plurality of feelings, namely: the feeling of thestate away from which , the feeling of the state towards which , and the feeling of this “away from” and “towards” themselves. But this is accompanied by a feeling of the muscles that comes into play through a sort of habitas soon as we “will,” even without our putting “arms and legs” intomotion. Just as feeling – and indeed many feelings – must be recognizedas ingredients of the will, thought must be as well. In every act of willthere is a commandeering thought, – and we really should not believethis thought can be divorced from the “willing,” as if some will wouldthen be left over! Third, the will is not just a complex of feeling and ",558
Page 55,"On the prejudices of philosophers thinking; rather, it is fundamentally an affect : and speciﬁcally the affect of the command. What is called “freedom of the will” is essentially the affect of superiority with respect to something that must obey: “I amfree, ‘it’ must obey” – this consciousness lies in every will, along with a certain straining of attention, a straight look that ﬁxes on one thingand one thing only , an unconditional evaluation “now this is necessaryand nothing else,” an inner certainty that it will be obeyed, and whateverelse comes with the position of the commander. A person who wills –, commands something inside himself that obeys, or that he believes toobey . But now we notice the strangest thing about the will – about thismultifarious thing that people have only one word for. On the one hand,we are, under the circumstances, both the one who commands and the one who obeys, and as the obedient one we are familiar with the feelingsof compulsion, force, pressure, resistance, and motion that generally startright after the act of willing. On the other hand, however, we are in thehabit of ignoring and deceiving ourselves about this duality by means ofthe synthetic concept of the “I.” As a result, a whole chain of erroneousconclusions, and, consequently , false evaluations have become attachedto the will, – to such an extent that the one who wills believes, in goodfaith, that willing sufﬁces for action. Since it is almost always the case that there is will only where the effect of command, and therefore obedience,and therefore action, may be expected , the appearance translates into the feeling, as if there were a necessity of effect . In short, the one who wills believes with a reasonable degree of certainty that will and action aresomehow one; he attributes the success, the performance of the willingto the will itself, and consequently enjoys an increase in the feeling ofpower that accompanies all success. “Freedom of the will” – that is theword for the multi-faceted state of pleasure of one who commands and, atthe same time, identiﬁes himself with the accomplished act of willing. Assuch, he enjoys the triumph over resistances, but thinks to himself that itwas his will alone that truly overcame the resistance. Accordingly , the onewho wills takes his feeling of pleasure as the commander, and adds to itthe feelings of pleasure from the successful instruments that carry out thetask, as well as from the useful “under-wills” or under-souls – our bodyis, after all, only a society constructed out of many souls –. L’effet c’est moi: what happens here is what happens in every well-constructed and The effect is I. ",632
Page 56,"Beyond Good and Evil happy community: the ruling class identiﬁes itself with the successes of the community . All willing is simply a matter of commanding and obeying,on the groundwork, as I have said, of a society constructed out of many“souls”: from which a philosopher should claim the right to understandwilling itself within the framework of morality: morality understood asa doctrine of the power relations under which the phenomenon of “life”arises. –  That individual philosophical concepts are not arbitrary and do not growup on their own, but rather grow in reference and relation to each other; that however suddenly and randomly they seem to emerge in the historyof thought, they still belong to a system just as much as all the membersof the fauna of a continent do: this is ultimately revealed by the certaintywith which the most diverse philosophers will always ﬁll out a deﬁnitebasic scheme of possible philosophies. Under an invisible spell, they will each start out anew , only to end up revolving in the same orbit once again.However independent of each other they might feel themselves to be, withtheir critical or systematic wills, something inside of them drives themon, something leads them into a particular order, one after the other, andthis something is precisely the innate systematicity and relationship ofconcepts. In fact, their thinking is not nearly as much a discovery as it isa recognition, remembrance, a returning and homecoming into a distant,primordial, total economy of the soul, from which each concept oncegrew: – to this extent, philosophizing is a type of atavism of the highest order. The strange family resemblance of all Indian, Greek, and Germanphilosophizing speaks for itself clearly enough. Where there are linguistic afﬁnities, then because of the common philosophy of grammar (I mean: due to the unconscious domination and direction through similar gram-matical functions), it is obvious that everything lies ready from the verystart for a similar development and sequence of philosophical systems;on the other hand, the way seems as good as blocked for certain otherpossibilities of interpreting the world. Philosophers of the Ural-Altaiclanguage group (where the concept of the subject is the most poorly de-veloped) are more likely to “see the world” differently , and to be found onpaths different from those taken by the Indo-Germans or Muslims: thespell of particular grammatical functions is in the last analysis the spell of ",538
Page 57,"On the prejudices of philosophers physiological value judgments and racial conditioning. – So much towards a rejection of Locke’s superﬁciality with regard to the origin of ideas.  The causa suiis the best self-contradiction that has ever been conceived, a type of logical rape and abomination. But humanity’s excessive pride has got itself profoundly and horribly entangled with precisely this piece ofnonsense. The longing for “freedom of the will” in the superlative meta-physical sense (which, unfortunately , still rules in the heads of the half-educated), the longing to bear the entire and ultimate responsibility foryour actions yourself and to relieve God, world, ancestors, chance, and so-ciety of the burden – all this means nothing less than being that very causa suiand, with a courage greater than M ¨unchhausen’s, pulling yourself by the hair from the swamp of nothingness up into existence. Suppose some-one sees through the boorish naivet ´e of this famous concept of “free will” and manages to get it out of his mind; I would then ask him to carry his“enlightenment” a step further and to rid his mind of the reversal of thismisconceived concept of “free will”: I mean the “un-free will,” which is basically an abuse of cause and effect. W e should not erroneously objectify “cause” and “effect” like the natural scientists do (and whoever else thinksnaturalistically these days –) in accordance with the dominant mechanis-tic stupidity which would have the cause push and shove until it “effects”something; we should use “cause” and “effect” only as pure concepts , which is to say as conventional ﬁctions for the purpose of description andcommunication, not explanation. In the “in-itself ” there is nothing like “causal association,” “necessity ,” or “psychological un-freedom.” There, the “effect” does not follow “from the cause,” there is no rule of “law .” We are the ones who invented causation, succession, for-each-other, rel- ativity , compulsion, numbers, law , freedom, grounds, purpose; and if weproject and inscribe this symbol world onto things as an “in-itself,” thenthis is the way we have always done things, namely mythologically . The “un-free will” is mythology; in real life it is only a matter of strong and weak wills. It is almost always a symptom of what is lacking in a thinker when he senses some compulsion, need, having-to-follow , pressure, un-freedom in every “causal connection” and “psychological necessity .” It is Cause of itself. ",653
Page 58,"Beyond Good and Evil very telling to feel this way – the person tells on himself. And in general, if I have observed correctly , “un-freedom of the will” is regarded as a problem by two completely opposed parties, but always in a profoundlypersonal manner. The one party would never dream of relinquishing their “responsibility ,” a belief in themselves , a personal right to their own merit (the vain races belong to this group –). Those in the other party , on thecontrary , do not want to be responsible for anything or to be guilty ofanything; driven by an inner self-contempt, they long to be able to shift the blame for themselves to something else. When they write books these days, this latter group tends to side with the criminal; a type of socialistpity is their most attractive disguise. And, in fact, the fatalism of the weakof will starts to look surprisingly attractive when it can present itself as “la religion de la souffrance humaine ”: this is its“good taste.”  Y ou must forgive an old philologist like me who cannot help maliciously putting his ﬁnger on bad tricks of interpretation: but this “conformity ofnature to law ,” which you physicists are so proud of, just as if – – exists only because of your interpretation and bad “philology .” It is not a matterof fact, not a “text,” but instead only a naive humanitarian correction and a distortion of meaning that you use in order to comfortably accommodatethe democratic instincts of the modern soul! “Everywhere, equality beforethe law , – in this respect, nature is no different and no better off than we are”: a lovely case of ulterior motivation; and it serves once moreto disguise the plebeian antagonism against all privilege and autocracytogether with a second and more reﬁned atheism. “ Ni dieu, ni maˆ ıtre” – you want this too: and therefore “hurray for the laws of nature!” – right?But, as I have said, this is interpretation, not text; and somebody with anopposite intention and mode of interpretation could come along and beable to read from the same nature, and with reference to the same set ofappearances, a tyrannically ruthless and pitiless execution of power claims.This sort of interpreter would show the unequivocal and unconditionalnature of all “will to power” so vividly and graphically that almost every word, and even the word “tyranny ,” would ultimately seem useless orlike weakening and mollifying metaphors – and too humanizing. Y et this The religion of human suffering. Neither God nor master. ",621
Page 59,"On the prejudices of philosophers interpreter might nevertheless end up claiming the same thing about this world as you, namely that it follows a “necessary” and “calculable”course, although not because laws are dominant in it, but rather because laws are totally absent , and every power draws its ﬁnal consequences at every moment. Granted, this is only an interpretation too – and you willbe eager enough to make this objection? – well then, so much the better.  All psychology so far has been stuck in moral prejudices and fears: it hasnot ventured into the depths. To grasp psychology as morphology andthedoctrine of the development of the will to power , which is what I have done – nobody has ever come close to this, not even in thought: this, of course, to the extent that we are permitted to regard what has been written so far as a symptom of what has not been said until now . Thepower of moral prejudice has deeply affected the most spiritual world,which seems like the coldest world, the one most likely to be devoidof any presuppositions – and the effect has been manifestly harmful, hindering, dazzling, and distorting. A genuine physio-psychology has tocontend with unconscious resistances in the heart of the researcher, ithas “the heart” against it. Even a doctrine of the reciprocal dependence of the “good” and the “bad” drives will (as a reﬁned immorality) causedistress and aversion in a strong and sturdy conscience – as will, to an evengreater extent, a doctrine of the derivation of all the good drives from thebad. But suppose somebody considers even the affects of hatred, envy ,greed, and power-lust as the conditioning affects of life, as elements thatfundamentally and essentially need to be present in the total economy oflife, and consequently need to be enhanced where life is enhanced, – thisperson will suffer from such a train of thought as if from sea-sickness.And yet even this hypothesis is far from being the most uncomfortable andunfamiliar in this enormous, practically untouched realm of dangerousknowledge: – and there are hundreds of good reasons for people to keepout of it, if they – can! On the other hand, if you are ever cast loose here with your ship, well now! come on! clench your teeth! open youreyes! and grab hold of the helm! – we are sailing straight over and away from morality; we are crushing and perhaps destroying the remnants of our own morality by daring to travel there – but what do wematter! Never before have intrepid voyagers and adventurers opened up a more ",578
Page 60,"Beyond Good and Evil profound world of insight: and the psychologist who “makes sacriﬁces” (they are not thesacriﬁzio dell’intelletto– to the contrary!) can at least demand in return that psychology again be recognized as queen of thesciences, and that the rest of the sciences exist to serve and prepare for it. Because, from now on, psychology is again the path to the fundamentalproblems. Sacriﬁce of the intellect. In German: Wissenschaften .Wissenschaft has generally been translated as “science” throughout the text, but the German term is broader than the English, and includes the humanities as well as the natural and social sciences. ",193
